                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.0617,                  4.981,                0.33566,                 1.5808,                   1.19,                0.56244,                0.46287,                0.46949,                0.33683,                0.51652,                 0.3425,                0.30793,                0.05939,                0.99376,                   4.84,                0.16451,                 1.3016,                 1.1592,               0.005842,               0.005842,               0.005842
                     23,                 1.0481,                 4.9507,                0.33574,                 1.5488,                 1.1847,                0.66159,                0.45073,                0.49682,                0.36499,                0.57407,                0.35954,                0.33932,                0.06541,                0.94592,                 4.8101,                0.16453,                 1.2766,                  1.142,               0.005644,               0.005644,               0.005644
                     24,                 1.0372,                 4.9338,                0.33596,                 1.5362,                 1.1755,                0.53293,                0.51048,                0.49319,                0.36721,                0.43924,                0.40388,                0.34121,                0.06745,                0.91962,                  4.782,                0.16399,                 1.2581,                 1.1269,               0.005446,               0.005446,               0.005446
                     25,                 1.0319,                 4.9081,                 0.3341,                 1.5149,                 1.1766,                0.61181,                0.46936,                0.49806,                0.36857,                0.53805,                 0.3647,                0.34232,                0.06607,                0.92656,                 4.8122,                0.16499,                 1.2353,                 1.1293,               0.005248,               0.005248,               0.005248
                     26,                 1.0213,                 4.8827,                0.33144,                  1.489,                 1.1656,                0.59137,                0.47009,                0.50969,                0.37926,                0.50926,                0.36972,                0.35318,                0.07111,                0.91873,                 4.7461,                0.16574,                 1.2263,                  1.123,                0.00505,                0.00505,                0.00505
                     27,                 1.0134,                 4.8534,                0.33163,                  1.464,                  1.169,                0.58364,                0.48172,                0.50659,                0.37939,                0.49733,                0.39003,                 0.3569,                0.07046,                0.90791,                 4.7787,                0.16469,                 1.2263,                 1.1173,               0.004852,               0.004852,               0.004852
                     28,                0.99807,                 4.8051,                0.33027,                 1.4487,                 1.1552,                0.57975,                0.49353,                0.51934,                0.39028,                0.49688,                 0.4096,                0.37651,                0.07577,                0.89692,                 4.7175,                0.16164,                 1.1992,                 1.1123,               0.004654,               0.004654,               0.004654
                     29,                0.98569,                 4.7797,                0.32775,                 1.4226,                 1.1518,                0.60281,                0.50311,                0.53603,                  0.406,                0.52024,                0.40293,                 0.3836,                0.07981,                0.89948,                 4.7158,                0.16128,                  1.168,                 1.1114,               0.004456,               0.004456,               0.004456
                     30,                0.97991,                  4.763,                0.32683,                 1.4102,                 1.1505,                0.58017,                0.49103,                0.54501,                0.41097,                 0.5088,                0.39245,                0.39476,                0.08023,                0.88761,                 4.6979,                0.16058,                 1.1721,                 1.1062,               0.004258,               0.004258,               0.004258
                     31,                0.97076,                 4.7152,                0.32651,                  1.369,                 1.1431,                0.53227,                0.52523,                0.53618,                0.40762,                0.46864,                0.43387,                0.40561,                0.08532,                0.87774,                 4.6505,                0.16045,                 1.1569,                 1.0994,                0.00406,                0.00406,                0.00406
